|0|2022-07-21 10:43:26.660
|0|2022-07-21 10:43:26.662
|0|2022-07-21 10:44:21.073
|0|2022-07-21 10:44:21.075
|0|2022-07-21 10:44:21.077
|0|2022-07-21 10:45:14.751
|0|2022-07-21 10:45:14.753
|1|2022-07-21 10:45:14.839
|0|2022-07-21 10:45:15.388
|2|2022-07-21 10:45:16.937
|0|2022-07-21 10:45:42.433
|1|2022-07-21 10:45:42.435
|0|2022-07-21 10:45:42.436
|0|2022-07-21 10:46:28.709
|1|2022-07-21 10:46:28.765
|2|2022-07-21 10:46:29.109
|0|2022-07-21 10:46:55.923
|1|2022-07-21 10:46:55.925
|0|2022-07-21 10:46:55.927
|1|2022-07-21 10:46:55.952
|0|2022-07-21 10:46:55.953
|1|2022-07-21 10:46:55.955
|0|2022-07-21 10:47:23.857
|0|2022-07-21 10:47:23.860
|1|2022-07-21 10:47:23.967
|0|2022-07-21 10:47:23.969
|1|2022-07-21 10:47:23.971
|1|2022-07-21 10:47:23.973
|0|2022-07-21 10:47:41.088
|1|2022-07-21 10:47:41.090
|0|2022-07-21 10:47:41.109
|1|2022-07-21 10:47:41.787
|2|2022-07-21 10:47:42.936
|3|2022-07-21 10:47:44.218
|0|2022-07-21 10:48:55.449
|1|2022-07-21 10:48:55.451
|0|2022-07-21 10:49:08.399
|1|2022-07-21 10:49:08.401
|0|2022-07-21 10:50:27.104
|0|2022-07-21 10:50:27.106
|0|2022-07-21 10:50:27.109
|1|2022-07-21 10:50:27.111
|1|2022-07-21 10:50:27.113
|3|2022-07-21 10:50:27.116
|1|2022-07-21 10:50:27.133
|3|2022-07-21 10:50:27.149
|3|2022-07-21 10:50:27.151
|2|2022-07-21 10:50:27.621
|2|2022-07-21 10:50:27.623
|2|2022-07-21 10:50:27.625
|0|2022-07-21 10:51:05.988
|0|2022-07-21 10:51:05.992
|0|2022-07-21 10:51:05.995
|1|2022-07-21 10:51:05.998
|1|2022-07-21 10:51:06.002
|2|2022-07-21 10:51:06.005
|0|2022-07-21 10:56:24.529
|1|2022-07-21 10:56:24.530
|0|2022-07-21 10:56:38.558
|1|2022-07-21 10:56:39.574
|2|2022-07-21 10:56:40.585
|3|2022-07-21 10:56:41.602
|0|2022-07-21 10:56:42.614
|1|2022-07-21 10:56:43.621
|2|2022-07-21 10:56:44.635
|3|2022-07-21 10:56:45.651
|0|2022-07-21 10:56:46.658
|1|2022-07-21 10:56:47.671
|2|2022-07-21 10:56:48.682
|3|2022-07-21 10:56:49.694
|0|2022-07-21 10:56:50.708
|1|2022-07-21 10:56:51.717
|2|2022-07-21 10:56:52.718
|0|2022-07-21 10:56:58.624
|1|2022-07-21 10:56:59.639
|2|2022-07-21 10:57:00.648
|3|2022-07-21 10:57:01.653
|0|2022-07-21 10:57:02.659
|1|2022-07-21 10:57:03.670
|2|2022-07-21 10:57:04.685
|3|2022-07-21 10:57:05.693
|0|2022-07-21 10:57:06.696
|1|2022-07-21 10:57:07.709
|2|2022-07-21 10:57:08.718
|3|2022-07-21 10:57:09.731
|0|2022-07-21 10:57:10.746
|1|2022-07-21 10:57:11.757
|2|2022-07-21 10:57:12.772
|3|2022-07-21 10:57:13.777
|0|2022-07-21 10:57:14.781
|1|2022-07-21 10:57:15.790
|2|2022-07-21 10:57:16.807
|3|2022-07-21 10:57:17.812
|0|2022-07-21 10:58:32.653
|1|2022-07-21 10:58:33.655
|2|2022-07-21 10:58:34.661
|3|2022-07-21 10:58:35.675
|0|2022-07-21 10:58:36.677
|1|2022-07-21 10:58:37.690
|2|2022-07-21 10:58:38.696
|3|2022-07-21 10:58:39.711
|0|2022-07-21 10:58:40.728
|1|2022-07-21 10:58:41.742
|0|2022-07-21 10:58:51.939
|1|2022-07-21 10:58:51.954
|2|2022-07-21 10:58:51.955
|3|2022-07-21 10:58:51.970
|0|2022-07-21 10:58:51.986
|1|2022-07-21 10:58:52.002
|2|2022-07-21 10:58:52.018
|3|2022-07-21 10:58:52.033
|0|2022-07-21 10:58:52.048
|1|2022-07-21 10:58:52.049
|2|2022-07-21 10:58:52.064
|3|2022-07-21 10:58:52.080
|0|2022-07-21 10:58:52.096
|1|2022-07-21 10:58:52.097
|2|2022-07-21 10:58:52.111
|3|2022-07-21 10:58:52.112
|0|2022-07-21 10:58:52.127
|0|2022-07-21 10:59:13.960
|1|2022-07-21 10:59:14.970
|0|2022-07-21 10:59:15.982
|1|2022-07-21 10:59:16.997
|0|2022-07-21 10:59:18.013
|1|2022-07-21 10:59:19.024
|0|2022-07-21 10:59:20.030
|1|2022-07-21 10:59:21.036
|0|2022-07-21 10:59:22.041
|1|2022-07-21 10:59:23.052
|0|2022-07-21 10:59:33.750
|1|2022-07-21 10:59:34.758
|0|2022-07-21 10:59:35.759
|1|2022-07-21 10:59:36.772
|0|2022-07-21 10:59:37.774
|1|2022-07-21 10:59:38.776
|0|2022-07-21 10:59:39.789
|1|2022-07-21 10:59:40.803
|0|2022-07-21 10:59:41.812
|1|2022-07-21 10:59:42.826
|0|2022-07-21 10:59:54.264
|1|2022-07-21 10:59:55.267
|2|2022-07-21 10:59:56.274
|3|2022-07-21 10:59:57.279
|0|2022-07-21 10:59:58.293
|1|2022-07-21 10:59:59.303
|2|2022-07-21 11:00:00.308
|3|2022-07-21 11:00:01.322
|0|2022-07-21 11:00:02.337
|1|2022-07-21 11:00:03.349
|2|2022-07-21 11:00:04.366
|3|2022-07-21 11:00:05.380
|0|2022-07-21 11:00:06.384
|1|2022-07-21 11:00:07.388
|2|2022-07-21 11:00:08.404
|3|2022-07-21 11:00:09.419
|0|2022-07-21 11:00:10.432
|1|2022-07-21 11:00:11.444
|2|2022-07-21 11:00:12.458
|3|2022-07-21 11:00:13.475
|00|2022-07-21 11:01:42.048
|01|2022-07-21 11:01:43.057
|00|2022-07-21 11:01:44.062
|01|2022-07-21 11:01:45.075
|00|2022-07-21 11:01:46.083
|01|2022-07-21 11:01:47.095
|00|2022-07-21 11:01:48.098
|00|2022-07-21 11:02:12.954
|01|2022-07-21 11:02:13.965
|02|2022-07-21 11:02:14.967
|03|2022-07-21 11:02:15.975
|00|2022-07-21 11:02:16.980
|01|2022-07-21 11:02:17.988
|02|2022-07-21 11:02:18.991
|03|2022-07-21 11:02:19.992
|00|2022-07-21 11:02:21.001
|01|2022-07-21 11:02:22.008
|02|2022-07-21 11:02:23.016
|03|2022-07-21 11:02:24.031
|00|2022-07-21 11:02:25.033
|01|2022-07-21 11:02:26.039
|02|2022-07-21 11:02:27.054
|03|2022-07-21 11:02:28.070
|00|2022-07-21 11:02:29.079
|01|2022-07-21 11:02:30.093
|02|2022-07-21 11:02:31.095
|03|2022-07-21 11:02:32.107
|00|2022-07-22 18:47:34.061
|00|2022-07-22 18:47:34.108
|01|2022-07-22 18:47:34.123
|00|2022-07-22 18:47:34.138
|01|2022-07-22 18:47:34.154
|02|2022-07-22 18:47:34.169
|00|2022-07-22 18:48:11.552
|01|2022-07-22 18:48:11.568
|00|2022-07-22 18:48:11.583
|01|2022-07-22 18:48:11.598
|00|2022-07-22 18:48:11.614
|02|2022-07-22 18:48:11.630
|01|2022-07-22 18:48:11.645
|03|2022-07-22 18:48:11.660
|04|2022-07-22 18:48:11.675
|05|2022-07-22 18:48:11.691
|06|2022-07-22 18:48:11.692
|02|2022-07-22 18:48:11.706
|07|2022-07-22 18:48:11.707
|00|2022-07-22 18:49:34.728
|00|2022-07-22 18:49:34.774
|01|2022-07-22 18:49:34.790
|00|2022-07-22 18:49:34.805
|02|2022-07-22 18:49:34.821
|01|2022-07-22 18:49:34.837
|00|2022-07-22 18:50:43.615
|01|2022-07-22 18:50:43.631
|02|2022-07-22 18:50:43.647
|00|2022-07-22 18:50:43.663
|01|2022-07-22 18:50:43.679
|02|2022-07-22 18:50:43.694
|00|2022-07-22 18:50:43.710
|01|2022-07-22 18:50:43.725
|00|2022-07-22 18:51:38.451
|01|2022-07-22 18:51:38.483
|00|2022-07-22 18:51:38.512
|01|2022-07-22 18:51:38.530
|00|2022-07-22 18:51:38.560
|01|2022-07-22 18:51:38.575
|02|2022-07-22 18:51:38.591
|03|2022-07-22 18:51:38.607
|04|2022-07-22 18:51:38.621
|02|2022-07-22 18:51:38.636
|03|2022-07-22 18:51:38.652
|05|2022-07-22 18:51:38.668
|04|2022-07-22 18:51:38.683
|02|2022-07-22 18:51:38.699
|06|2022-07-22 18:51:38.714
|05|2022-07-22 18:51:38.729
